player_id,season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,income,adj_income
4,2003,C,31,NJN,81,0,19.7,2.5,5.4,0.453,0.0,0.0,0.0,2.5,5.4,0.454,0.453,1.3,1.6,0.785,1.7,2.4,4.1,1.1,0.3,0.7,1.0,2.5,6.2,2700000,4579178
4,2004,C,32,NJN,72,7,18.6,2.4,4.8,0.503,0.0,0.0,0.333,2.4,4.7,0.504,0.504,1.5,2.2,0.677,1.4,2.7,4.1,1.1,0.5,0.6,1.2,2.6,6.3,2925000,4858159
4,2005,C,33,TOT,84,8,7.533333333333334,0.6999999999999998,1.5,0.4653333333333333,0.0,0.0,0,0.6999999999999998,1.5,0.4653333333333333,0.4653333333333333,0.3999999999999999,0.3999999999999999,0.8796666666666667,0.4000000000000001,1.0333333333333334,1.4333333333333331,0.1999999999999999,0.1,0.1999999999999999,0.4333333333333333,1.6666666666666667,1.7333333333333334,3790257,6096159
4,2006,C,34,TOT,96,10,14.666666666666666,1.6666666666666667,3.233333333333333,0.5196666666666667,0.0,0.0,0,1.6666666666666667,3.233333333333333,0.5196666666666667,0.5196666666666667,0.7333333333333334,1.0333333333333334,0.7319999999999999,1.1333333333333333,2.066666666666667,3.266666666666667,0.3333333333333333,0.3666666666666667,0.3666666666666667,0.5666666666666667,2.6999999999999997,4.066666666666666,3375000,5294307
4,2007,PF,35,LAC,38,7,9.8,0.8,1.4,0.547,0.0,0.0,0.0,0.8,1.4,0.558,0.547,0.5,0.6,0.818,0.7,1.5,2.2,0.2,0.2,0.4,0.5,1.5,2.0,1750000,2631546
4,2008,C,36,LAC,30,5,9.9,0.9,1.8,0.491,0.0,0.0,0,0.9,1.8,0.491,0.491,0.5,0.6,0.778,0.5,1.5,2.0,0.3,0.4,0.5,0.4,1.5,2.3,1890000,2767700
1661,2018,SF,24,BOS,48,1,10.9,1.0,3.1,0.336,0.5,1.4,0.354,0.6,1.8,0.321,0.413,0.5,0.8,0.59,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,3.0,1167333,1453996
1661,2019,SF,25,OKC,61,1,11.4,1.5,3.5,0.423,0.5,1.6,0.32,1.0,1.9,0.513,0.498,0.4,0.6,0.75,0.2,1.7,1.9,0.3,0.3,0.2,0.4,1.1,4.0,1378242,1668779
1661,2020,SF,26,OKC,55,6,15.8,2.2,4.8,0.468,0.9,2.3,0.375,1.4,2.5,0.556,0.559,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,1618520,1927927
1661,2021,SF,27,PHO,24,0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3.0,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7,1752950,2074658
1661,2022,SF,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1.0,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4,2000000,2245958
906,2008,PG,23,ATL,56,6,15.4,1.7,4.2,0.401,0.1,0.6,0.206,1.6,3.6,0.433,0.416,0.7,0.9,0.792,0.2,0.8,1.0,2.0,0.5,0.0,1.0,1.3,4.2,1927080,2822000
906,2009,PG,24,ATL,55,1,10.2,0.9,2.5,0.374,0.2,0.5,0.31,0.8,2.0,0.391,0.406,0.9,1.1,0.817,0.1,0.9,1.1,1.6,0.2,0.1,0.5,0.8,2.9,2071680,2888687
906,2010,PG,25,TOT,52,2,9.3,1.375,2.825,0.47250000000000003,0.175,0.575,0.24475000000000002,1.2,2.25,0.52075,0.50075,1.575,2.0,0.7935,0.1,0.475,0.6,1.0,0.5,0.025,0.6,0.65,4.45,2216160,3134873
906,2011,PG,26,TOT,102,0,12.833333333333334,1.3,3.1666666666666665,0.35333333333333333,0.1,0.6666666666666666,0.12233333333333334,1.2,2.5,0.41900000000000004,0.365,0.7999999999999999,1.2,0.6976666666666667,0.2333333333333333,0.9333333333333332,1.1666666666666667,1.5666666666666669,0.5666666666666667,0.0,0.8333333333333334,1.1333333333333333,3.466666666666667,859087,1202555
2321,2024,SG,24,OKC,2,0,7.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.5,0.0,0.214,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,205897,205897
532,2003,SG,22,TOT,38,0,6.966666666666666,0.6999999999999998,2.1666666666666665,0.294,0.3666666666666667,0.9,0.35133333333333333,0.3333333333333333,1.2666666666666666,0.26933333333333337,0.36000000000000004,0.2,0.2333333333333333,0.75,0.1,0.4666666666666667,0.5333333333333333,0.8333333333333334,0.1333333333333333,0.0666666666666666,0.1,0.5333333333333333,1.866666666666667,140636,238517
5,2001,PF,30,GSW,67,13,12.5,1.0,2.4,0.403,0.0,0.0,0.333,0.9,2.3,0.404,0.406,0.6,0.9,0.619,1.3,1.8,3.1,0.5,0.4,0.3,0.6,1.5,2.5,3390000,5999533
1895,2020,SF,21,CHI,11,0,10.2,1.1,2.5,0.429,0.5,1.4,0.4,0.5,1.2,0.462,0.536,0.2,0.4,0.5,0.6,0.3,0.9,0.4,0.4,0.0,0.2,1.5,2.9,79568,94778
1895,2021,SG,22,CHI,14,0,4.0,0.5,1.4,0.368,0.1,0.7,0.1,0.4,0.6,0.667,0.395,0.0,0.1,0.0,0.1,0.3,0.4,0.4,0.1,0.1,0.4,0.4,1.1,449115,531538
815,2007,PF,22,CHA,78,23,29.8,4.6,12.1,0.376,1.1,3.3,0.337,3.4,8.8,0.391,0.422,1.5,2.2,0.71,0.7,2.3,2.9,2.1,0.4,0.1,1.7,2.3,11.8,3616680,5438549
815,2009,SF,24,TOT,104,10,11.466666666666669,1.2333333333333334,3.533333333333333,0.3506666666666667,0.4666666666666666,1.4666666666666668,0.3066666666666667,0.7666666666666666,2.033333333333333,0.377,0.413,0.2666666666666666,0.3999999999999999,0.6669999999999999,0.3333333333333333,1.1,1.3666666666666665,0.7000000000000001,0.1333333333333333,0.0666666666666666,0.5666666666666667,1.2333333333333334,3.266666666666667,4159200,5799462
815,2010,SF,25,LAL,31,0,7.8,1.0,2.7,0.376,0.2,0.7,0.238,0.9,2.1,0.422,0.406,0.2,0.3,0.625,0.3,0.7,1.0,0.6,0.1,0.1,0.3,0.5,2.4,5257229,7436624
2322,2024,PF,21,CHI,9,0,7.3,1.6,3.0,0.519,0.0,0.0,0,1.6,3.0,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,0.6,4.0,559782,559782
2101,2022,SG,24,SAC,1,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53176,59715
